type,data,score
train,平成30年7月の豪雨で旭酒造の工場が被災したそうです。被害の程度は分かりませんが、早期の復旧を期待してます。今後も「呑んで応援」をしていきます。追伸：品薄によるプレミア価格は勘弁して欲しいです。,0
train,石川酒造の多摩自慢純米無濾過があっさりして大好きです。普段は盃でそちらを飲んでいます。一方でこちらの獺祭は濃厚で深みがありました。おつまみと一緒に飲むと非常に楽しむことができます。価格はAmazon発送のもので３０００円程度でした。販売店によって価格が異なるようなので、お気に入りに登録しておくことをお勧めします。,18
train,最初の頃は、楽天やYahoo等で検索すると5～7千円で高くて何で？と思いました。一昨年に旭酒造から新聞紙上に希望小売価格が出てもオークション価格で売られているのにはビックリしました。殆どの百貨店などでは、1.8Ｌが3078円で売られています。amazonでは、配送料無料で￥3078で販売されていましたので何度も購入しています。とても美味しく頂けています。,10.5
train,１５年位前に三割九分を初めて飲み獺祭にはまった。その後は贔屓の酒屋が仕入れる日本酒で純米から純米吟醸を幅広く飲んでいた。久しぶりに獺祭を思い出し、最近飲んでいる価格帯のものとして４５を注文。ちょっと期待して飲んでみたら、フルーティーな香りはいくらかあるものの、のっぺりとした舌に残る甘ったるさが強く、一合も飲みきれなかった。開栓から3日くらいたつと甘ったるさが減った気がする。ただ精米歩合７０％の純米酒でも同じ路線でもっと美味しいものがある。舌が肥えたのか、品質が落ちたのか・・・、残念です。でも上等料理酒としても使うのでOKです。,-2
train,とにかく美味い！価格も安い。純米大吟醸の中でも、まろやかさと飲み易さが最高です。特に冷やして飲むと最高です。,10
train,好みの問題なので主観的なことしか書けませんが正直に書きます。良く言えばクセがなくて飲みやすい。悪く言えば味に深みがない。私には物足りなかった。美味しいお酒を飲んだときの高揚感がなかった。残念。,-4
train,長年日本酒は苦手で、ほとんど飲んだことは無かったが、獺祭を飲んでからは日本酒も好きになった。今までの醸造アルコール入の日本酒はいったい何だったの？と思わせる。獺祭があまりにも美味しかったので、他の大手メーカーの純米酒なども飲んでは見たが、やはり獺祭に比べると物足りない。最近はまた獺祭だけに戻った。プレミアム価格での販売を嫌うメーカーの姿勢も指示出来るし、今後も日本酒は獺祭だけで良いと思う。,18
train,他の酒もそうだとは思うけれど、特に日本酒は価格の高いものを買えば旨いのは当たり前。大吟醸らしい香りと旨さのこの商品はそういった意味ではとてもコスパがいい。ちょっと名の知れた銘柄の酒はすぐにプレミア価格になって買いにくくなるのだけれどこの酒はそんなこともなくて、さらに送料が無料なのでとてもありがたい。名前が通っているということは進物にも向いているいるということなので、そっちの方でも重宝している。,12
train,まさかこんな値段で獺祭が飲めるとは、思ってもいませんでした。とても芳醇で飲みやすく値段もどこよりも安いのでリピートしています。この酒造にはこれからも期待しています。今年の水害を乗り越えて頑張って欲しいです。,11
train,獺祭メーカーの製造工程でミスがあった商品に運悪くあたったらしい。報道があった時にはすでに飲み干したあとなので、クレーム処理もできず泣き寝入りした。,-2
train,2018.9.1、CAビジネスクラス機内で出された獺祭 純米大吟醸50の方が、深いコクがあったように思う。磁器製の容器に、30ML位、3杯も飲め。なおお代りは何杯でも可能であったが、3杯で満足した。,7
train,旨いの一言、久保田の千寿ばかり飲んでいましたが、此方の酒が美味しいかと😍人其々好みが違いますが‼私はこれが好きだ↗😆,13
train,私は辛口が好きなので、この酒の甘さや果実臭は許容範囲外でした。総統に有名なようですが、軟派な酒飲みが増えたのかと思っています。普段飲んでいる一ノ蔵無鑑査の黒ラベルの方が2/3 の価格ではるかに旨く感じます。,2
train,味も香りも薄く、少し生乾きの雑巾臭いです。獺祭は一升瓶と四合瓶それぞれアマゾンと正規取扱店で一本づつ買って飲みましたが、いづれも生臭さが気になり、食事の途中で杯を洗ったこともありました。もう二度と買うことはありません。,-3
train,酒好きの両親に贈っています。（父の日、誕生日、年末年始の挨拶の３回は贈っています）一度、送料別になってしまっていて割高に感じて某通販サイトに浮気しましたが、また送料込の値段に戻ってくれて嬉しいです。,3
train,獺祭は最高です。他の日本酒とは違う(^_^)と思います。本当にうまい。至極の時を楽しめます。今まで飲んだ日本酒のなかで自分には最高のお酒です。,11
train,ちょっと早い父の日としてプレゼント！最近日本酒でフルーティなのが流行っているのは父親も知っていたらしく、いつもいいちこ25を飲んでいるのでフルーティなのをあげるのはちょっと冒険でしたが、喜んでくれていました。後は口に合うかです！口に合う事を期待します！,3
train,久々に美味しい酒が呑めました🍶酒が苦手な人でも、呑める酒かな！,6
train,辛口であると友人から勧められて注文しました。日本酒は普段あまり飲まないけれど、これは飲みやすいです。フルーティな香りと味で特に女性にはいいんじゃないかなと思います。ついつい飲み過ぎてしまうので注意してください。,3
train,あちこちで見かけるので検索したら、アマゾンで送料無料3300円まあお安い！と飛びつきました。しかし、山田錦を45%まで磨いてしかも送料無料で3300円で、純米大吟醸が成立するのか。そんな訳はありませんでした。口開けこそ華やかな香りが楽しめましたが、ベッタリと甘くキレがなく、バランスが悪くて全く好みじゃない。安吟醸酒の典型的なタイプです。がっかりしました。,-5
train,"熱燗でも飲んでみましたが此方は呑み馴れた""長門峡""の方が好きです。届いた際の梱包もかなりしっかりしていて気持ち良かったです。",3
train,この酒はまだ獺祭が超人気になる前に価格に見合った酒だと思って当初から購入していました。その後プレミアム価格になってしまいなかなか手に入り辛かったのですが、今回ここで当時の価格に近かったので購入しました。今後もこの価格を維持してくれることを期待します。,14
train,1.8リットルはさすがに多かった。長く置いておくと風味が飛んでしまうので、一人で飲む分にはもう少し少量を買うのが良いと思います。,0
train,日本酒は、人それぞれ好みがありますが、私は甘口で飲みやすい獺祭が一番好きです。磨き三割九分も美味しいですが、45もあまり味が変わらずもコスパ的にも充分美味しいです。リピートしています。ただ、正直、美味しい時と、おや？と思う時があります。好きなお酒なので、品質確保を切に願います。,17
train,仕事友達と居酒屋で初めて飲んで以来、飲み続けています。二人ともその衝撃に驚きました。なんとフルーティで飲みやすく後口が悪くないお酒なので、やみつきになりました。冷酒では、もうほかのお酒は飲めないほど気に入っています。仕事の友人も同じ状態になっています。最高頻です,8
train,口当たり良く呑みやすいのでついつい呑み過ぎてしまうのですが（普段の二倍以上）二日酔いになることなく次の日が変わりなく過ごせるので安心して楽しめる大好きな日本酒です。入手困難な時期も酒蔵さんのホームページでは二ヶ月待ちではありましたが、価格を高騰するようなことなく良心的に販売してくださったので、その肝心な意向含めて真面目一心さを感じます。,15
train,純米大吟醸ってだけあって香りがよい。味は正直好き嫌いがあるかもしれない。フルティーな感じ？まぁ一度は飲んでみて欲しいお酒ではないかと思う。,3
train,日本酒に詳しくないのですが、単純にこれは旨いと思いました。甘口なのかな？飲みやすいワインのような飲み口です。香りも花のようにいい匂いです。少々値段は張りますが買って後悔はないです。初心者の方にこそおすすめかもしれません。ちなみに冷やで飲んだ感想です。,10
train,獺祭にはずっと興味を持ちながら、一万弱から数万も出して飲みたいというほど特別日本酒好きな訳でもなく、これをAmazonで見つけ三千程度で飲めるならと思い購入。私が飲んだ事のある日本酒の中では一番美味しかったです。,15.5
train,保管方法が悪すぎて、変色、二次発酵されていた。いいお酒なのに、飲めたものではなかった。,-18
train,お店で飲むと高いので、ビンで買ってみました。甘い香りがふわっと広がって、とても美味しかったです。ただ、普段酒をそんなに飲まないので、1升ビンは持て余しますｗ,12.5
train,家族皆好きでかなり気に入って毎回購入しています。純米大吟醸45、コスパも高くカジュアルにもいただけます。お魚にもお肉にも合います。とにかく美味しいので、あっという間になくなってしまいます。普段ワインしかいただかないという海外のお客様にも大好評でした。,25.5
train,忘年会の景品に！とても楽しみです,14
train,720ml入りも購入した際に、1800ml入りを購入しました。720ml入りの瓶が空になったら移して、冷蔵庫で保管する為です。かなりお買い得感が有ります~,2
train,とってもフルーティーでびっくりでした。イメージしていた味と違って、私は口に合いませんでしたが、家族は大絶賛です。女性は好きな人が多い味かもしれないです。好みではありませんでしたが、しっかりとした商品です。試してみる価値はあると思います,2
train,流石、獺祭。おいしかったです。知り合いにも味わってもらいました。,3
train,アルコール度数問題などありましたが、後の対応が素早くメーカーとして好感を持てます。この商品については、味もおいしく、大吟醸のなかではお買い得度が高いと思います。お買い得商品です。,9
train,バーベキューにてメンバーに呑んでもらいましたが３割は当然美味いですが、５割でも値段の割りに結構行けます。,0
train,間違いなくコスパに優れたよいうまいお酒です。Amazonではプライムにより送料無料で納入できる時もあるのでそれは地方の方にとって狙い目となります。サイトをこまめにみてください。,12
train,日本酒を飲み慣れている人には甘過ぎると思います。逆に飲み慣れていない人には、飲みやすいのでオススメできるかもしれません。量が多いので、味が合わなかったら結構辛いです。少なめの量で試飲してから購入されると良いかと。,5
train,みんな美味しいって言うので、期待しすぎたのだと思います。好みの問題だと思うのですが、屋守の方が好きです。確かに美味しいし万人受けする味だと思います。,16.5
train,なかなか手に入らない事で有名なお酒なので、どれほど美味しいのかと期待をしていましたが思ったよりも甘く感じ私の好みの味ではありませんでした,0
train,財布に優しく、我が家の定番の一つです。日本酒を近所の酒屋で購入すると、「こっちの方が」という店主の囁きに負けそうになるので通販で扱ってくれると助かります。,4
train,純米大吟醸酒でこの価格はお買い得商品だと思います。お酒は好みがわかれますが、自分はもう少しコクがあるというか、後を引く感じのほうが好きです。スッキリが好きな方はいいと思います。,6
train,残念な、獺祭人気が出る前から飲んでるが何が変わった価格が変わった。同価格帯なら雨だれ石を穿つの方がズ～ッと旨い、10月蔵出しが待ち遠しい。,-2
train,本当に美味しいお酒！人の味覚は色々だと思いますが、日本酒が苦手な自分でもついつい飲みたくなるお酒です。値段も高くないしこの味なら大満足です！！そして梱包もきちんとされていて、ラベルに傷もなく状態もいいです。自分はレビューあんまり書きませんが、本当に獺祭に惚れたんでレビューを書きました。,16
train,私は呑まないですが息子がお気に入りでお祖父ちゃんにプレゼントしたらとっても美味しいと喜んでました。,15.5
train,お酒好きなご近所の方へ振る舞い酒のため購入しました。皆さん、日本酒好きでとても美味しそうに飲んで喜んで下さいました。,13.5
train,獺祭の名前に期待し過ぎた。決して悪くない飲みやすい日本酒ですが、昔飲んだ素晴らしいものに比べると普通。精米歩合も違うし値段も違うし当然なので、あまり名前を気にしないで飲むべきでした。,6
train,あれ？って感じです。正直、獺祭50のが好みでしたね。50は値段、キャラクターからすると、自分としては文句無しだったんですが。,2
train,この価格でこの味は大変満足です。他のメーカーもこの程度の品質と価格で勝負するようになれば日本酒を見直すきっかけになると思います。,7
train,地元のド○キの酒類コーナーだとAmazonの1.5倍するんですよ……。世に美味い酒は数あれど、3千円のお酒でこれだけの味が出せるなら文句なぞ有りませんよ。,2
train,もう少し味があればよかったと思う。ご飯を食べながら飲むといい。,3
train,冷蔵庫に入るよう720mlで頼んでいたのですが、割高だったので、720mlの瓶を取っておいて今回一升瓶を頼みました。継ぎ足して冷蔵庫保存しています。三割九部よりもガツンとくる部分はありますけど、日本酒らしい飲み口もあり基本フルーティーですけど、三割九部よりも酒を飲んでる感覚があり美味しかったです。,3
train,"正月用に購入させて頂きましたが,知人に勧められて購入をしましたが,辛口が好きな方には少々甘口であり違和感はあるかもしれません。また,違うのを購入したいと思います。",0
train,購入し、飲み干した後に・・・リコールらしきメールが。飲み干した後なので、どうすればと？そのまま放置。,0
train,日本酒は、美味しいのですが普段は、ずいぶんと悪酔いをしてしまいますがこちらの獺祭は、いい酒で全くといっていいほど悪酔いをしません。普段ワインをよく飲みますが味は、同じ感じでフルーティな口当たりがよく家族でたいへんに喜んで飲みました。またよろしくお願いします。,21.5
train,普段冷や、冷酒用に購入。口当たり良し、香り良し。燗すると上質な味が損なわれるためオススメしません。まったりと優雅な晩酌を提供してくれます。,11
train,開けた時の香りがフルーティーで、価格の割には呑んでも贅沢な味わいでした。,2
train,確かに飲みやすい。ただし、料理には合わない。定価なら皆さんの好みで購入しても良いと思う。私は出羽桜です。,3
train,甘みが旨味とは感じられました。しかし、「肴」選びが難しい。個人的には普段呑みの酒にはならないと感じました。,0
train,プレゼント用に購入。お酒好きな人に必ず喜ばれるお酒。自分はあまり飲めないが、日本酒というよりは、白ワインのような味わい。大人気だけある納得の1本だ。,13.5
train,うまい！これは間違いない！獺祭大吟醸コスパも良いしおすすめ！,9
train,さすが大吟醸です、もちろん美味しいです、女性も飲めるでしょう、自分は辛口党ですが飲めます。,9
train,最高です。この価格でこれを提供していいのかと思いました。本当にうまい。熊本県民でありながら、日本酒好きでしたが、これで、完全に日本酒派にチェンジしました。,6
train,友人に毎年暮れに獺祭をプレゼントしています。ご家族の方皆がお酒が好きなので、美味しかったと感謝されます。,3
train,去年の忘年会は八海山、今年は、なんと、獺祭です。手ごろな値段です。,0
train,素晴らしいの一言。また利用させていただきますので、ぜひ値上げせずこのままの価格で販売を継続して欲しいと思います。,3
train,味も良いが毎日飲むにはちょい高い。デパートでも同じ価格で買える。近くの安売り酒屋で５５００円？どうゆうこと？,3
train,期待していた味ではなかったので残念です。まぁでも美味しい類には入ります。,1
train,お酒が好きな父へ、誕生日の贈り物として購入しました。日本酒は詳しくありませんがこのお酒は名前を聞いた事があったので購入しました。父も喜んでくれたので大変満足しています。（父は美味しいといってくれました）しかし、ものが大きかった為に家の冷蔵庫に入らなかったです。もう一回り小さいものを買うべきだったかな？今ではいい笑い話です。,13
train,さすがに旨い！酒販店と値段も変わらず。継続です。他の酒が飲めなくなるんじゃないか。と思います。,3
train,この値段で純米吟醸酒が買えて、おいしくてリピ買いしています。辛口好きには甘くてちょっと、となるかもしれませんが、私はとても美味しく頂いています。,13.5
train,いつもアマゾンを使って購入しています。一個から配達してくれるからうれしいけど、月に4本は買っちゃうんだよね。,3
train,獺祭でも甘くないため好んで飲めます。磨き系は甘いけれど、値段も毎回飲むにはこのぐらいがよかった,5
train,父と飲むために購入。自分は美味しいと思いました。父は普通だと言っていました。獺祭は、はじめて飲みましたが、コスパはあまり良いと思いませんが、また機会があれば飲んでみたいと思います笑,-7.5
train,純米酒大吟醸酒として期待をしていたが、純米酒の方が口に合う。,0
train,フルーティな味ですっきりとして飲み口がよい。,5
train,冷酒以下の温度で甘味がありうまい。少し辛みが少ないような気もしますが、あとは好みで。,3
train,このお酒に出逢って、一口含んで舌の上で転がしたとき初めて日本酒の美味しさ奥深さを知った気がします。自分的にはドストライクな美味しさ。,3
train,友人宅にもっていきました！初めて一升瓶を買って日本酒を飲んだのですが、フルーティで優しい甘みに良く冷やすときりっとした感じがあります。周りの評判も上々！他の種類も飲んでみたいです,8
train,宅飲みで豪華に飲みましょう。味は文句ありませんよね。美味しいの一言です。酒飲みの評判はいまいちですが日本酒初心者には飲みやすいです。,10
train,大分の西の関(上)の方がよいです。これは私の口には合いませんでした。残念。,-5
train,飲みやすいけど、味わいがある。甘すぎず辛すぎず丁度良い。香りもちゃんと楽しめます。この値段でこの味なら文句はないでしょう。,10
train,親戚に送り大変喜ばれました、リピートしようと思います。,10.5
train,好きな日本酒の獺祭。レビュー見てて、ちょっと心配でしたが、なんのことない。凄く美味しかったし。皆喜んでくれて、追加注文します。,15.5
train,はじめて飲みました。もっと高いと思ったのですが高くなくて良かったです。これで獺祭のことを話せます。,3
train,家飲み用に、フルーティーで最高でした。お財布にも優しくて、またリピします。再購入しました。美味しいお酒ですが、少しお値段が高くなっていました。残念ですが〜配送料も必要でしたが、梱包は丁寧でした。ありがとうございました。,15
train,美味しいことは美味しい。だがそこらへんで売ってる。大吟醸と似たり寄ったり、特別飛ぶ抜けて美味しいこともないです。お値段なりの味でした,0
test,お正月用に買いましたが、美味しくてその前になくなりました。お値段は安かったと思います。次はワンランク上の獺祭に挑戦してみたいと思いますので、⭐︎4つ です,4
test,プレゼントして大変感謝されました。,0
test,獺祭は初めて注文しましたが、とてもおいしくいただきました。７月に再注文いたしました。ありがとうございました。,10
test,この価格でこの味なら文句なしですね、また買いたいと思います。,5
test,知り合いにプレゼントとして送りました。自分ではなかなか購入しないそうなので喜んでもらえました。他で買うより安いのでよかったです。,6
test,父の日プレゼントに購入しました。一杯飲ませてもらいましたが美味かった！,3
test,この銘品をお手頃な価格でゲット出来ました。量販店よりも二割もお得でした。,3
test,大人数でのパーティ用に購入しました。安定の美味しさで、みなに大好評でした。1升瓶がこの価格がとてもお得ですので、自宅用にも検討したいです。なお、パーティ開催した友人宅指定で送ってたのですが、間違って別の場所に荷物が行ってしまったようですが、きちんと連絡もいただき、無事パーティには間に合いました！,23
test,いつもお世話になってる友達にプレゼントしました！このお値段でとても喜んでくれました◎梱包も丁寧で良かったです。,15.5
test,使いやすさ,0
test,自分は飲まないのでわからないですが、父に定期的に買ってあげると美味い美味いと喜んで飲んでくれます。これからも定期的に購入しようと思います。,12
test,美味しい,3
test,文句なし,2
test,最高にうまいし安い,6
test,元旦に家族でいただきました、その日に一本空いてしまいました。口当たりも良く、お正月にはぴったり！,3
test,お誕生日プレゼントに購入しました。「こんな高価なものを」と、喜ばれました。ほとんど定価で入手したので、心の中で「恐縮です」と答えておきました。,3
test,プレゼント用に購入。とてもよろこんでくれました。,10.5
test,とてもおいしかったです、金額もほどほどで定期的にまた注文します。,10.5
test,お酒が好きな父のために購入。自分は飲まないので分かりませんが父は美味しいと言ってました,3
test,癖が無く．美味しいです、日本酒の通に言わせれば色々あると思いますが、このお酒は万人受けします、この獺祭からお酒を覚えると他の日本酒は飲めなくなります。,13.5
test,やや味が美味しくない感じがした。安いせいかもしれない。次回は少し高めの獺祭を購入します。,-3
test,梱包も丁寧で、配送も早い。高価なお酒も色々飲んでいたが、この獺祭が気に入ったらしく、何度も父親の為に実家に送っている。これからも定期的に購入する予定。おすすめ。,6
test,有名なお酒なので、お呼ばれした時の手土産に購入しました。お酒を飲まない人でも、貰って困らないと思います,5
test,又楽しみに注文します。,4
test,品質管理がしっかりしてるので、質が安定しています。香りの良いフルーティな味わい、値段も手頃で晩酌に最適です。（辛口派には合わないと思います）,5
test,ありがとうございました。,7
test,コスパは良かった。飲み比べると高いものとの差がわかるが、そうでなければ十分美味しい。,6
test,安価で非常に助かります。１日目より２日目・３日目が旨いです。,10
test,美味しい,3
test,私は気に入りましたがプレゼントした母が安物の焼酎と変わらないとか言ってました。それは変だとは思いますが評価は据え置きにさせてもらいました,2
test,辛口が好みの人には合わないかもしれませんが呑めば分かりますｗ,0
test,とても美味しくいただきました。酒屋さんや大手のお店でも売ってないので助かります。,12.5
test,日頃お世話になっている近所のおじさんに差し上げたところ美味しいと言っていました。,3
test,父の日に、毎年日本酒を購入して、親父と一緒に飲んでいます。今年は獺祭にしました。とてもフルーティーで飲みやすく、美味しかった。,6
test,とても飲みやすいお酒でした。決して高くないところも良いです,13.5
test,日本酒の知識はないけど、居酒屋やコンビニに売っている日本酒とは大違いでおいしいということが実感できた。,3
test,イベントの差し入れで購入。2本の獺祭が3分で終了。この値段でこの人気。大量生産もみんなで美味しいお酒で楽しくなるのはとても良い事！,6
test,旅先の旅館に直送して頂きました。前日に到着し宿の冷蔵庫で冷やして頂き、酒宴では最高の飲み物を満喫出来ました。また使わせて頂きます。乾杯・・・,5
test,安い。美味い,3
test,昔はプレミア価格でとても買えなかったけどライン生産で値段が下がり家で呑むのには最高です。,3
test,美味しかった(^∇^),3
test,大吟醸のフルーティさに、雑味が最高です。,3
test,「至」と「獺祭」を交互に購入しています。つまみや体調にもよりますが、私の好みです。,2
test,贈り物として購入しましたがたいへん喜んでいただきまた購入したいと思っています。獺祭は飲みやすく安く購入出来るということで欲し後にさせて頂きました。,17.5
test,よい,3
test,美味すぎて飲み過ぎて女房に叱られました（苦笑）知人にも紹介したら喜んでました,18
test,この価格でこの味は素晴らしい,3
test,2割3分に比べると差がありますが、4割5分でも十分美味しいです。,3
test,父の日用に購入。喜んでくれました！,3
test,安定の美味しさ,2
test,交換になった。,0
test,今更言うわけも必要はないと思いますが女性に人気は高いですね。,3
test,非常においしく頂いております。また注文させていただきます,10.5
test,美味い！の一言です。普段はビール一辺倒なんですが、近頃日本酒に魅かれています。特に獺祭。上のグレードも飲みましたが、これで大満足。,10
test,旨し。,3
test,獺祭は、安くて旨い。送料無料。自分には、一升だとちょっと多いかも。毎日、飲みすぎちゃった。,3
test,旨い,3
test,日本酒は個人の好みがありますが、これは美味い！癖になりそうです。,6
test,日本酒党ではありませんが、美味しいの一言です。,3
test,獺祭がアマゾンでこの価格で手に入れることが出来大変満足しています。,7
test,和食に合う。獺祭を楽しむために和食を食べる事が増えました。,0
test,日本酒大好きなのでいろいろな種類の酒をのんでいます！こちらは有名な酒という事で買わせていただきました。,2
test,日本酒は日本酒ですね。私の口には合いませんでした。チューハイかビールが一番です。,-3
test,日本酒なのにフルーティー美味しすぎる,15
test,贈答品として購入しました。贈答先に喜んでもらえたようです。,3
test,まあ、安いのには理由があるのでしょうね。日本酒は詳しくないですが。,0
test,美味しいです。安いです。高級な日本酒を手頃な価格で手に入れてよかったです。,8
test,いつ飲んでも、期待を裏切らない香り高い気品にあふれた一品です。飽きることなくいつも身近に置いておきたい一品です。,7
test,美味しいお酒に感謝,5
test,お正月用に買いました。間違いない旨さ。家族にも好評でした。,4
test,まだ3か月も経ってないのにもう2回目のリピータです。美味しいです。コスパ最高ですね。,6
test,平成３１年１月の注文で、なんと、同年同月のものが届いた！有難くて、涙が出そうになった。,2
test,先日製造過程で回収が有りましたが対応が敏速でした。さすが獺祭です、これからも美味しい日本酒をお願いします。,3
test,評判の日本酒で人気もあるので期待度も大でしたが期待外れでした。ごく普通の日本酒でした。ガッカリくりくり！,0
test,C/Pは高い,3
test,全体的に軽すぎる。サラッとしていると言うと聞こえは良いが、味、香りともにふくよかさに欠ける。,3
test,フルーティー好き、甘口好きな人には良いが、酒の旨味が感じられなかった。,5
test,特に魚料理に合いますね。余り主張せず料理を味を引き立て、それでも本来の風味を失わない。天狗舞や菊姫と同等の秀逸なお酒です,3
test,獺祭一升瓶、純米がこの価格で購入出来たのは嬉しい。,3
test,口あたりが良く、味もほんのり柑橘のような感じもあったようで、大変美味しいかったです。またリピしたいと思います。,13.5
test,甘みがあり、初心者でも飲みやすいお酒です。お値段も手頃で、夫もとても喜んでくれました。,15.5
test,この価格帯でこの味だったら最高ですね。間違いなくまた買います。,4
test,間違いない！うまい！,4
test,普通に美味しい、甘口の酒。値段なりでも私美味しいでしょう!と媚てる感じがした。,8
test,梱包もよく、早期対応にて大変満足しております。有難うございます。,17
test,主人へのプレゼントにしました。とても喜んでました。,10.5
test,獺祭がこの値段で買えた事に感謝します。とても飲みやすく美味しいお酒です。,15.5
test,あまっとろい味、冷酒で飲みました。,2
test,さすがです!度数が高いからワインのような口当たり、とは行きませんが日本酒感も、こくもあり満足です。,2
test,おいしいにきまってる！プレゼント用に購入しました！自分用にも欲しい！,6
test,獺祭純米大吟醸50皆さんがレビューで言われいる内容そのもの 最高です！送料無料！この安さ！少し甘口でもいける冷やすと又格別毎日の晩酌に決定です！又リピ間違いなし！,4
test,最近は手に入りやすくなりよいですね。美味しいです！,7
test,美味しいお酒を酒屋廻りしなくっても安易に買わせて頂く事が出来ました。,4
test,この値段でこの美味しさは、コスパ最高です！また購入します！！,3
test,一時期はかなり値段が高く手に入らない日本酒でした。現在は値段も手ごろで購入もしやすくなりました。フルーティで飲みやすく今後も定期的に購入したい日本酒の一つです。,6
test,獺祭♫大吟醸でこの価格…迷う必要無し、即購入！デメリットは1日で飲み干してしまう、ある意味コスパ悪いかも…笑,0
test,知人へのお使いもので購入しました。喜んでもらいました。,3
test,特にどうこうはない味でした。,0
test,送別会で飲んだがみんなが獺祭ばかりで直ぐに無くなった❗,0
test,義理の弟が酒好きなので、飲んでもらいました。地方に住んでいますが、価格が全然違いました。,0
